Log for insect tracking test flight
Local time	North output	East output
10:35:31	-0.828		1.568
10:35:32	-0.544		1.614
10:35:33	-0.706		1.562
10:35:33	-0.746		1.546
10:35:33	-0.746		1.546
10:35:33	-0.746		1.546
10:35:33	-0.758		1.55
10:35:33	-0.78		1.556
10:35:33	-0.776		1.558
10:35:33	-0.772		1.56
10:35:33	-0.77		1.562
10:35:33	-0.772		1.564
10:35:33	-0.772		1.564
10:35:33	-0.772		1.564
10:35:33	-0.768		1.558
10:35:33	-0.77		1.558
10:35:33	-0.776		1.56
10:35:33	-0.778		1.56
10:35:33	-0.78		1.562
10:35:33	-0.786		1.562
10:35:33	-0.794		1.562
10:35:33	-0.786		1.54
10:35:33	-0.796		1.534
10:35:33	-0.81		1.526
10:35:33	-0.882		1.56
10:35:33	-0.894		1.552
10:35:33	-0.896		1.552
10:35:33	4.29497e+06		-4.29497e+06
10:35:33	4.29497e+06		-4.29497e+06
10:35:33	4.29497e+06		-4.29497e+06
10:35:33	-0.894		1.554
10:35:33	-0.89		1.554
10:35:33	-0.882		1.554
10:35:33	-0.876		1.556
10:35:33	-0.864		1.556
10:35:40	-0.42		1.636
10:35:40	-0.398		1.64
10:35:40	-0.386		1.644
10:35:40	-0.376		1.648
10:35:40	-0.374		1.648
10:35:40	-0.374		1.65
10:35:40	-0.38		1.654
10:35:40	-0.368		1.66
10:35:40	-0.364		1.67
10:35:40	-0.37		1.686
10:35:40	-0.38		1.718
10:35:45	-1.086		-0.304
10:35:45	-0.846		-0.266
10:35:45	-0.694		-0.268
10:35:45	-0.59		-0.264
10:35:45	-0.504		-0.25
10:35:45	-0.436		-0.234
10:35:45	-0.382		-0.22
10:35:46	-0.18		-0.158
10:35:46	-0.132		-0.156
10:35:46	-0.104		-0.168
10:35:46	-0.08		-0.188
10:35:46	-0.062		-0.206
10:35:46	-0.046		-0.21
10:35:46	-0.032		-0.204
10:35:46	-0.026		-0.198
10:35:46	-0.026		-0.192
10:35:46	-0.032		-0.182
10:35:46	-0.04		-0.166
10:35:46	-0.048		-0.156
10:35:46	-0.058		-0.15
10:35:46	-0.07		-0.138
10:35:46	-0.084		-0.106
10:35:46	-0.102		-0.066
10:35:46	-0.114		-0.018
10:35:46	-0.118		0.036
10:35:46	-0.108		0.092
10:35:46	-0.09		0.138
10:35:46	-0.07		0.172
10:35:46	-0.054		0.192
10:35:46	-0.046		0.198
10:35:46	-0.048		0.194
10:35:46	-0.054		0.188
10:35:46	-0.058		0.178
10:35:46	-0.056		0.16
10:35:46	-0.048		0.138
10:35:46	-0.04		0.116
10:35:46	-0.036		0.088
10:35:46	-0.034		0.052
10:35:46	-0.032		0.022
10:35:46	-0.024		0
10:35:46	-0.016		-0.006
10:35:46	-0.008		0.006
10:35:46	-0		0.028
10:35:46	0.004		0.06
10:35:46	0.004		0.102
10:35:46	-0		0.162
10:35:46	-0.002		0.224
10:35:46	-0.004		0.288
10:35:47	-0.006		0.302
10:35:47	0.002		0.228
10:35:47	-0		0.204
10:35:47	-0.004		0.182
10:35:47	-0.004		0.17
10:35:47	-0		0.17
10:35:47	0.004		0.186
10:35:47	-0		0.198
10:35:47	-0.008		0.206
10:35:47	-0.014		0.224
10:35:47	-0.01		0.232
10:35:47	-0.004		0.236
10:35:47	-0.002		0.24
10:35:47	-0.004		0.248
10:35:47	0.002		-0.038
10:35:47	0.008		-0.13
10:35:47	0.01		-0.15
10:35:47	0.01		-0.16
10:35:47	0.004		-0.166
10:35:47	-0.002		-0.16
10:35:47	-0		-0.136
10:35:47	0.01		-0.092
